"blockNumber","buyer","category","createdAt","nftAddress","price","status","txHash","price_mana","nft_image","nft_owner_address","nft_owner_mana","parcel_x_coordinate","parcel_y_coordinate","estate_size","date_time_utc","date"
"12745681",NA,"parcel","1625195240","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","250000000000000000000000","open","0x59d88c9f89d3421e3064c0ac95759ce5bfe9507342c72918f3b9842f269241bc",250000,"https://api.decentraland.org/v1/parcels/13/12/map.png","0xe78de5a93d5208b68f480d1f1da1c635655785fa","0","13","12",NA,"2021-07-02 23:50:05",2021-07-02
"12745661",NA,"parcel","1625194933","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","4900000000000000000000","open","0xfa5356796ac4d6df0b8790a77e1af38cf0cee5a5cef4113b896849f335aae215",4900,"https://api.decentraland.org/v1/parcels/-33/-111/map.png","0x5ce213893956bbf4249a7f8a079331280065eec6","0","-33","-111",NA,"2021-07-02 23:50:05",2021-07-02
"12747002","0xa9817ca5debc329d94568e0054dcce75fae6386d","parcel","1625194468","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","10888000000000000000000","sold","0xc458808de1176bbe34e3884cf9a017b65da85ff7bcec2cb19b8d8dd6efb5ef29",10888,"https://api.decentraland.org/v1/parcels/-35/140/map.png","0xa9817ca5debc329d94568e0054dcce75fae6386d","0","-35","140",NA,"2021-07-02 23:50:05",2021-07-02
"12745576",NA,"parcel","1625193869","0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","7850000000000000000000","open","0xee5a90a60df63985c3fa0101cf23b19e63d5619b5bf371bedac8a2149e876e1d",7850,"https://api.decentraland.org/v1/parcels/14/-48/map.png","0xac077477dc36a6e4cdf27ec229920e81136e5a33","0","14","-48",NA,"2021-07-02 23:50:05",2021-07-02
"12750691","0x1d56a24b684da7f21e9566e1c8a7cb40483e1078","estate","1625193680","0x959e104e1a4db6317fa58f8295f586e1a978c297","22000000000000000000000","sold","0x4fd6302e7cce1144e69f49245e0510fb8f99da0f62f464858607e88384c1e031",22000,"https://api.decentraland.org/v1/estates/4256/map.png","0x1d56a24b684da7f21e9566e1c8a7cb40483e1078","0",NA,NA,4,"2021-07-02 23:50:05",2021-07-02
"12745304",NA,"estate","1625189962","0x959e104e1a4db6317fa58f8295f586e1a978c297","24999000000000000000000","open","0x13add073f9f28a1f7bf1d8387482c6eae4720292860d730c45e9e2829678660b",24999,"https://api.decentraland.org/v1/estates/4282/map.png","0xa01424b7540adbb792375dcf97b733a5d68ad347","0",NA,NA,2,"2021-07-02 23:50:05",2021-07-02
"12745304",NA,"estate","1625189962","0x959e104e1a4db6317fa58f8295f586e1a978c297","24999000000000000000000","open","0xce58ccec047d0d2ad26b7f3e2d9e886c122c5b4a87f4f9ee2bd0acea177cfac3",24999,"https://api.decentraland.org/v1/estates/4283/map.png","0xa01424b7540adbb792375dcf97b733a5d68ad347","0",NA,NA,2,"2021-07-02 23:50:05",2021-07-02
"12745304",NA,"estate","1625189962","0x959e104e1a4db6317fa58f8295f586e1a978c297","29999000000000000000000","open","0xa75605bd6ab1dd533c7a41e4b76925d8488e581ba2d1e2df6b8d56245e61ddbc",29999,"https://api.decentraland.org/v1/estates/4284/map.png","0xa01424b7540adbb792375dcf97b733a5d68ad347","0",NA,NA,4,"2021-07-02 23:50:05",2021-07-02
"12745282",NA,"estate","1625189608","0x959e104e1a4db6317fa58f8295f586e1a978c297","14999000000000000000000","open","0xc7eb723dadc9a42fb91b9dc06ad9b24a9b17507592ea4431367c971ed383bb46",14999,"https://api.decentraland.org/v1/estates/4285/map.png","0xa01424b7540adbb792375dcf97b733a5d68ad347","0",NA,NA,2,"2021-07-02 23:50:05",2021-07-02
"12745273",NA,"estate","1625189551","0x959e104e1a4db6317fa58f8295f586e1a978c297","49999000000000000000000","open","0xa2c853a0befd1fa9495a9218ae11ef7956790830b19f915c51982a3a604525d9",49999,"https://api.decentraland.org/v1/estates/4281/map.png","0xa01424b7540adbb792375dcf97b733a5d68ad347","0",NA,NA,4,"2021-07-02 23:50:05",2021-07-02
