"createdAt","curatorFeeRewards","deniedAt","id","indexingDelegatorRewardAmount","indexingIndexerRewardAmount","indexingRewardAmount","ipfsHash","originalName","pricePerShare","queryFeeRebates","queryFeesAmount","reserveRatio","schemaIpfsHash","signalAmount","signalledTokens","stakedTokens","unsignalledTokens","date_utc","date_time_utc"
1626692937,"0",0,"0x303b502eba6fc9009263db01c6f1edeabe6427bb40a7e2e9be65f60760e5bb12","0","0","0","QmRavjdwiaU7mFWT7Uum28Lf6y6cm397z6CdZPpLcFj9iR","Bot Bait v2","0","0","0",500000,"QmVrZ6jiwZwZ3tatBmrYm6QBQEtAU3U9MPVXgydBndsWDm","0","0","0","0",2021-07-21,"2021-07-21 02:01:27"
1626617014,"0",12856982,"0xe5abfd1b7b95c237bc14314a8b43180b5028f31a922399309c73c699b8eda72e","0","0","0","QmdoCBPnZJHEWdn3KhQ3tTRJyARpZcaehMjnEdW3Ef8XQh","Bot Bait v1","0","0","0",500000,NA,"0","0","10000000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
1626616363,"0",12856982,"0x110ceb96d1b2cb29b18bd788e1e0bb44e68942fb2507165a12f4f649d3caa3f1","0","0","0","QmPVD4r9qA5yN6RyFeDHPoiwWm9wEYoHMDQfYvVLTaCnuE","Bot Bait v1","0","0","0",500000,NA,"0","0","10000000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
1626615836,"0",12856982,"0x2459f1050639395584145273856f8124661046f01410747bfac5a51f098f5bc4","0","0","0","QmQnYvyMHph78WzySWZ6DrFQQfQoxDyFx3y9b5bbb3FdjZ","Bot Bait v1","0","0","0",500000,NA,"0","0","10000000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
1626615635,"0",12856982,"0x85f08d8aa08d6ad589083b6c48851016e5860453a4ca40098d9e88d6f3c7d186","0","0","0","QmXMVgNEJ32tKU8S8F51YSyKTLxB9wZZWc8d878JQg5evZ","Bot Bait v1","0","0","0",500000,NA,"0","0","0","0",2021-07-21,"2021-07-21 02:01:27"
1626602588,"0",0,"0x949d775a90ef63b46d95fc90cf326dea9cceef9b3c4fcb04f9e16581dc7058ee","6466698427760591565464","2188159755747480879765","8654858183508072445229","QmYLnK6HwxTn3qPe2tURFUQYcxa4VVxLLvdbt6hVpBXmzd",NA,"0","0","0",500000,"QmVCxZJVKdietxj5xVqvY4anQ2kLMw7UB3v9wCoLTZDkm7","0","0","10000000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
1626583378,"0",0,"0x58b6312ecdd8e6929e133330aa00d32d4e19bd3cdc9ab65d0b25c0d3632fc058","745743790208416664095","1064537731186972129752","1810281521395388793847","QmUJwidYPoTfbyrx1YUgp3VzjCaSkWCrptKch2sJypEA4o","Test deployment1","0","0","0",500000,"QmNUqWpJEp5Ddxodx9UynfjuRafa8DctLSh2jW6dCRNGRD","0","0","501000000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
1626581933,"0",0,"0x6a6d1b2450a74485d32e3ae77243e575bc679882b93762e47cbc8c80e1dcd81d","1388069825719299137627","1223387274937059004090","2611457100656358141717","QmVW6RHBa6kTYkUPhTXrQt2HCgbjZfdWLJwWFZrsAqNdhN","Bot bait-v2","0","0","0",500000,"QmNUqWpJEp5Ddxodx9UynfjuRafa8DctLSh2jW6dCRNGRD","0","0","0","0",2021-07-21,"2021-07-21 02:01:27"
1626576618,"0",0,"0x10b921d7c6cec0844428992eeb510b0dca2f43d4ca09b281e3c055e7ab7ec0a4","517007896078661300000","382136271014662700000","899144167093324000000","QmPTvxu2JquArtLUvhuqMuPzBQMP9zzRBQ1X1Rm32Y3rFu","Space Cowboy Test","116.833214455479226109","0","0",500000,"QmNUqWpJEp5Ddxodx9UynfjuRafa8DctLSh2jW6dCRNGRD","58416607227739613053","3412500000000000000072","1200510000000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
1626522498,"0",0,"0x7cc21483037a393f606f57c1f937a90d93e743fc7111855e91bc8a946ff769d6","1742618595184017013723","1288022439918621271012","3030641035102638284735","QmWjeuhq9qcwpQw9b9Fhev6tGfv13YdT5CDopweBd7EXth","tbtc","124.899959967967964117","0","0",500000,"QmXyZTtkMZSn7AyajiuT7GZfLPgDHzSH3QcwiRGRTDn9dz","62449979983983982058","3900000000000000000000","1300010000000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
1626506862,"0",0,"0x4509060e1d1548bfd381baeacdadf0c163788e9dc472de48f523dbc4452742e3","2627530026925467351801","1450201191767185206841","4077731218692652558642","QmSz8pavvfKeXXkSYsE5HH7UhD4LTKZ6szvnNohss5kxQz","Keep network","118.317511782951657711","0","0",500000,"QmQejv2zL7p7i7WBicudpefVbM7vQhaXPQUBMAFJFAYfF1","59158755891475828854","3499758398627226090017","4379644000000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
1626506484,"0",0,"0x11bd056572a84f4f2700896fcd3a7434947cdb5a768ec4028f7935cd2cc2c687","2014625113292080100499","1110150614797421671678","3124775728089501772177","QmPXtp2UdoDsoryngUEMTsy1nPbVMuVrgozCMwyZjXUS8N","Totle Swap","116.833214455479226107","0","0",500000,"QmSJS1u9enAKnXmLr7wbsjKEJZQvMppVaSF7NZtNAWmyZf","58416607227739613053","3412500000000000000000","680193000000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
1626505184,"0",0,"0x62a81105fab7647bd7939f675333b24b941eee5fff3f0e4b59dc8aa3d402581a","6127378660458332892309","3689551622873067866166","9816930283331400758475","QmUymJWopFUdPtYF6C5BSXhJWFGG9SbNqw5X9ZrYbGgSJu",NA,"0","0","0",500000,"QmVCxZJVKdietxj5xVqvY4anQ2kLMw7UB3v9wCoLTZDkm7","0","0","0","0",2021-07-21,"2021-07-21 02:01:27"
1626498371,"0",0,"0x3c80df9ffda427168ab42fff007765429ceac43053ab18828387733647cf17a4","1479908329372616270000","728910072676064730000","2208818402048681000000","QmSQq9XVP9MzZPtvwuzidKLYwWRyt1QhvfrfxY4Kzde6B5","Unit Protocol v1","124.899959967967964119","0","0",500000,"QmQ15WQiU21ttJTzCUB8T2dKKjv2rjiRCFhdUiNoQ7zsrs","62449979983983982057","3900000000000000000000","1400010350000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
1626495888,"0",12842233,"0xc82ce9a2b81ff400e4159c035e19baf0095bed1e72ba2d8c07ae611217eda641","0","0","0","Qmbp3yDXBKu7R8UZUx4PGo851Yr2fxckcj4yrDxEeZsxNL","Bot Bait v1","0","0","0",500000,NA,"0","0","20000000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
1626491747,"0",12841958,"0xc82ce9a2b81ff400e4159c035e19baf0095bed1e72ba2d8c07ae611217eda640","0","0","0","Qmbp3yDXBKu7R8UZUx4PGo851Yr2fxckcj4yrDxEeZsxNK","Dummy Subgraph 6","0","0","0",500000,NA,"0","0","20000000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
1626489936,"0",12841958,"0x5810a347d14f96f811a812c17c8ff894cda17b8b4aecb83ac53645db19357866","0","0","0","QmUGRJSXZ3r6WSVUauwxjJm8ELEFDRRUszsNSVcimmBKUq","Dummy Subgraph 5","0","0","0",500000,NA,"0","0","20000000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
1626463231,"0",0,"0x8c7550cd95c55735e0e811058085db41f40c99ffbd8d531a34398dbd0a3ff586","0","0","0","QmXnwYNmBBU8XLyRHLJbAb5XaP8zCrgJ9rkN5z8ug4wcYM","filta","0","0","0",500000,"QmPVuAboyR1ybC6Hsx9fTsP14PN9ui8shebepvvp1cYaMu","0","0","0","0",2021-07-21,"2021-07-21 02:01:27"
1626461868,"0",0,"0x832da698b26e45ddaf7ffede0de806c21c548ed6477fc8d3a98905f3cd00c298","0","0","0","QmXAiVUP6EM6bVBwf7Nc2c3kSdDXvEuGBfgZgiw69H6SvB","Ethereum User LP Transactions V1","155.501766580496815297","0","0",500000,"QmXSkwgjJ4pw3d9Q3aMsLjcTwev98183GrJGqRYr6LGGwV","77750883290248407636","6045199852413829051320","4009641610000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
1626451746,"0",0,"0x26268b519511fd96d91225bb063116acf7fd383b2699d29b4e66d2bb0c14c83f","0","0","0","QmQuaHpLbA7m9EWU1GDDVM2RVGNrHwpbXkZVdUFBtdCZnv","displaynametest-2","0","0","0",500000,NA,"0","0","0","0",2021-07-21,"2021-07-21 02:01:27"
1626451163,"0",0,"0x526a63827df015647bb515af6d05b6d6655820c38bb04eafb79ce2edfd14cc42","0","0","0","QmTtNENux7t81rWkxY58eDsHkqnABpwENahSaDPb39THfP","chainlink-ethereum-mainnet","0","0","0",500000,"QmbQNz8n6oxXbZYMtJzP4nthTzytTxQhBuChesmRJUN6Xv","0","0","0","0",2021-07-21,"2021-07-21 02:01:27"
1626450127,"0",0,"0x82a108a1ed544721e2320f5d98c27b6780d5a7b511c10788673c7452d5f352fa","56550794503918132501","11846392849635486875","68397187353553619376","QmX8a8TArwwYyLQXJWPReA4ieXT7uErDaodDQwyC8QpQXB","badger-setts","73.89181280764466399","0","0",500000,"QmdqxTisP9boubyqYZbaFya2CHgcLVGu1z2TqvzjYEMTyu","36945906403822331988","1365000000000000000000","2377121900000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
1626448693,"0",0,"0x86021a617a9e993665947de0b1a15cb5c49acd6079ac93663d6d01a82ca67f20","20734002937242788110","86191354248490811890","106925357185733600000","QmXMmCcNPxCr4kvFSMffRV2pPLzi2AeHaq1hWnDD5bNAgX","badger-tokens","25.867628679294486489","0","0",500000,"QmezHBpWjfLAZMY4VtM8qAYyNFkhSAib1Z55SX9Y2z86Q8","12933814339647243244","167283553372464654830","157259750000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
1626448586,"0",0,"0x1360fc931794e3efc4004a02452c9d3aec452c1309e9761cb50f93bf0f84e558","110912430275842618951","422268489943348081417","533180920219190700368","QmPeJENBvMfkQ4WW1BmoCWPtj8m9PKMja1PBR186PaKXfd","badger-nfts","39.933751976810284822","0","0",500000,"QmeTJvdQYHrmUpHVJTS1271aNzDhUTSded2Svk9h7zoTw5","19966875988405142409","398676136736349832661","750010000000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
1626410565,"0",0,"0x7729c810ebb56efc1eae0aeea502872ea0c8d8d129bccc732b59f95c719cef15","0","0","0","QmWMpBEraX2yWhtMu7Q9jH8bDk1oqLBm8V9nBX8oHx2MWU","juicebox","108.166538263919678795","0","0",500000,"QmWtcpXthUCBNLD24h1RhfYnoA1cVNgUcTneStWne4BAgd","54083269131959839396","2925000000000000000000","1185010000000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
1626399260,"0",0,"0xfdc9365b47054f2c6265c8c6d9a4d65a86b10f4f947926144e91ff5685c54410","0","0","0","QmfRKox2Ha3c2rqWJMehL9vrAJC6k2RjtyM85241p5G1om","Unit Protocol","0","0","0",500000,"QmQ15WQiU21ttJTzCUB8T2dKKjv2rjiRCFhdUiNoQ7zsrs","0","0","10000000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
1626394910,"0",0,"0xc101ef2298753e61b8e8afdd391004077eb31f0230d91c199afeeacb52e6ed79","8004759989502558259615","4205534339119382960351","12210294328621941219966","QmbL5761GrNnT8X3Emeny6NbXQxDwXxdpiER2boASKBhFW","AirSwap","237.225838371087398757","0","0",500000,"QmQ7VQRmjwz5LMT8TKnExJ4r42vfsitM2uCKs9anQCvdVp","118612919185543699361","14069024597716320603069","11315233000000000000000000","0",2021-07-21,"2021-07-21 02:01:27"
