"date_utc","date_time_utc","wxtz_price"
2021-05-01,"2021-05-01 18:14:27",0.7586503559558
2021-05-01,"2021-05-01 18:20:03",0.7586503559558
2021-05-01,"2021-05-01 18:30:03",0.7586503559558
2021-05-01,"2021-05-01 18:40:03",0.7586503559558
2021-05-01,"2021-05-01 18:50:03",0.7586503559558
2021-05-01,"2021-05-01 19:00:03",0.7586503559558
2021-05-01,"2021-05-01 19:10:02",0.758650542961243
2021-05-01,"2021-05-01 19:20:03",0.758650542961243
2021-05-01,"2021-05-01 19:30:03",0.758650542961243
2021-05-01,"2021-05-01 19:40:02",0.758650542961243
2021-05-01,"2021-05-01 19:50:02",0.758650542961243
2021-05-01,"2021-05-01 20:00:03",0.758650542961243
2021-05-01,"2021-05-01 20:10:03",0.758650542971078
2021-05-01,"2021-05-01 20:20:03",0.758650542971078
2021-05-01,"2021-05-01 20:30:03",0.758650542971078
2021-05-01,"2021-05-01 20:40:03",0.761770032150763
2021-05-01,"2021-05-01 20:50:02",0.761770032150763
2021-05-01,"2021-05-01 21:00:03",0.761770032150763
2021-05-01,"2021-05-01 21:10:02",0.761770032150763
2021-05-01,"2021-05-01 21:20:03",0.761770032150763
2021-05-01,"2021-05-01 21:30:03",0.761770032150763
2021-05-01,"2021-05-01 21:40:03",0.761770032150763
2021-05-01,"2021-05-01 21:50:03",0.761770032155496
2021-05-01,"2021-05-01 22:00:03",0.761770032155496
2021-05-01,"2021-05-01 22:10:03",0.761770032155496
2021-05-01,"2021-05-01 22:20:02",0.761770032155496
2021-05-01,"2021-05-01 22:30:03",0.761770032155496
2021-05-01,"2021-05-01 22:40:02",0.761770032155496
2021-05-01,"2021-05-01 22:50:02",0.761770032155496
2021-05-01,"2021-05-01 23:00:04",0.761770032155496
2021-05-01,"2021-05-01 23:10:03",0.761770032155496
2021-05-01,"2021-05-01 23:20:02",0.761770032155496
2021-05-01,"2021-05-01 23:30:03",0.761770032155496
2021-05-01,"2021-05-01 23:40:03",0.761770032155496
2021-05-01,"2021-05-01 23:50:03",0.761770032155496
2021-05-02,"2021-05-02 00:00:03",0.761770032155496
2021-05-02,"2021-05-02 00:10:03",0.761770032155496
2021-05-02,"2021-05-02 00:20:03",0.761413562328474
2021-05-02,"2021-05-02 00:30:03",0.761413562328474
2021-05-02,"2021-05-02 00:40:03",0.761413562328474
2021-05-02,"2021-05-02 00:50:03",0.761413562328474
2021-05-02,"2021-05-02 01:00:03",0.761413562328474
2021-05-02,"2021-05-02 01:10:02",0.761413562328474
2021-05-02,"2021-05-02 01:20:02",0.761413562328474
2021-05-02,"2021-05-02 01:30:03",0.761413562328474
2021-05-02,"2021-05-02 01:40:03",0.761413562328474
2021-05-02,"2021-05-02 01:50:03",0.761413562328474
2021-05-02,"2021-05-02 02:00:03",0.761413562328474
2021-05-02,"2021-05-02 02:10:03",0.761413562328474
2021-05-02,"2021-05-02 02:20:03",0.761413562328474
2021-05-02,"2021-05-02 02:30:03",0.761413562328474
2021-05-02,"2021-05-02 02:40:02",0.761413562328474
2021-05-02,"2021-05-02 02:50:03",0.761413562328474
2021-05-02,"2021-05-02 03:00:03",0.761413562328474
2021-05-02,"2021-05-02 03:10:02",0.761413562328474
2021-05-02,"2021-05-02 03:20:03",0.761413562328474
2021-05-02,"2021-05-02 03:30:02",0.761413562328474
2021-05-02,"2021-05-02 03:40:03",0.767806649514813
2021-05-02,"2021-05-02 03:50:03",0.767806649514813
2021-05-02,"2021-05-02 04:00:03",0.767806649514813
2021-05-02,"2021-05-02 04:10:03",0.767806649514813
2021-05-02,"2021-05-02 04:20:03",0.767806649514813
2021-05-02,"2021-05-02 04:30:03",0.767806649514813
2021-05-02,"2021-05-02 04:40:03",0.767806649514813
2021-05-02,"2021-05-02 04:50:03",0.767806649514813
