"address","TotalProfitLoss","TotalSignalledTokens","TotalUnsignalledTokens","date_utc","date_time_utc"
"0x52087f3d54f6a63b776593fc8352f75547072815",5033.09682849612,1000,6033.09682849612,2021-07-21,"2021-07-21 02:01:27"
"0xfc7eec01e54c8ef105845f78a304261c8dc988ac",4735.81011576362,25000,0,2021-07-21,"2021-07-21 02:01:27"
"0x72727d612cd162c30f84b579662a9bde34481ae7",4721.67380705464,68500,17159.8386212217,2021-07-21,"2021-07-21 02:01:27"
"0xdfbe2a3f1a1aa42f6bdadc0de1f9bdf9cd0cf8c8",4588.25097683138,9018.33,0,2021-07-21,"2021-07-21 02:01:27"
"0x80ed58c5a0c4d16ac36d7cb9c12739d95597ef2f",4077.1967441666,3500,5186.52822079871,2021-07-21,"2021-07-21 02:01:27"
"0xd53a09059e46ae357e02a803f89a807a82381ca1",4029.93217904788,12035.3800759037,2668.6958015779,2021-07-21,"2021-07-21 02:01:27"
"0x870e0fc44b871c673c69f597dc7b962a2e2cf90e",3384.302405676,10500,9812.41987523644,2021-07-21,"2021-07-21 02:01:27"
"0xdab5c5a4efa0d0e19e58a37e901a94977eebd5e2",2997.9066740812,7999.99999969477,10997.906673776,2021-07-21,"2021-07-21 02:01:27"
"0xceb1fa6234e5a9bbb0923d188a71ddd48e3b4296",2423.57363079274,14620.8064347387,1768.14782113049,2021-07-21,"2021-07-21 02:01:27"
"0xbfb5c354f091d200c75e43bf24562858d3af4b39",2149.58565096319,52000,50131.015977143,2021-07-21,"2021-07-21 02:01:27"
"0x5cb088a44e6ca584387b794ef87ea9ef336cdc42",2042.4610413692,28936.99635,30979.4573913692,2021-07-21,"2021-07-21 02:01:27"
"0xe8d848debb3a3e12aa815b15900c8e020b863f31",1955.46365269253,19821.6956074374,0,2021-07-21,"2021-07-21 02:01:27"
"0x994d6ea5a9ccb836d1354947d4697ed3157e48fd",1742.08489066679,2165,1670.19909940046,2021-07-21,"2021-07-21 02:01:27"
"0x7498925710cc941c96f4be558677ad9b297eda94",1705.807738712,2300,4005.807738712,2021-07-21,"2021-07-21 02:01:27"
"0x8f7cae3e51bd832ee0e2cdb73de4723010acff5c",1421.01273477284,5990.42517624644,0,2021-07-21,"2021-07-21 02:01:27"
"0x301137fea55e26fcd10c493a212a30f21d2ed432",1358.21756590753,11121.2468899502,1121.18318954907,2021-07-21,"2021-07-21 02:01:27"
"0x26728c8a86f9e2b440fef8339ab12c70eafa4456",1323.47399821817,10500,0,2021-07-21,"2021-07-21 02:01:27"
"0xb7ce368a08d06b54352c2bef09dea0cdc066b2a1",1317.12181247633,12128,5494.77812639144,2021-07-21,"2021-07-21 02:01:27"
"0x6e831379fae5af708f6dd6bc38c7d6eef83fdda1",1257.00188238919,1043.72606761181,0,2021-07-21,"2021-07-21 02:01:27"
"0x87b3ed7b4c2c85f35c79fa4ae3937e5594cef67b",1172.41508410281,5018.32258065,6190.73766475281,2021-07-21,"2021-07-21 02:01:27"
"0x9dd87184d2b4945437c2671a277cab687bd8ab47",1152.7406005967,9180,4151.36867120774,2021-07-21,"2021-07-21 02:01:27"
"0x309dec25b8b3996adc80ec9ecdeb17a47a173130",1138.48304095563,200,1336.88457289761,2021-07-21,"2021-07-21 02:01:27"
"0x147676a5e327080386bcc227e103a73dd2979049",1084.77355571347,685,0,2021-07-21,"2021-07-21 02:01:27"
"0x7449eb9cf8c9fece5f05105233b4df614a301dab",1043.12000014638,4851.66625,0,2021-07-21,"2021-07-21 02:01:27"
"0x3986bcd2e1fa3b7e371763961c5c885d44a8e3a6",948.677684846455,18000,7821.99459377808,2021-07-21,"2021-07-21 02:01:27"
"0x335fbfe1c7b72e3e3237402b843a7668bce39d16",888.773744013012,2024.39052728872,964.390527288725,2021-07-21,"2021-07-21 02:01:27"
"0x32a5bbe726c7b2e8746e5a508a08870f0ad3d1f2",824.995077210237,4166.66625,0,2021-07-21,"2021-07-21 02:01:27"
"0x8d5d013b906cee14d5cb0a4e930f1fdc4d7c124a",820.025578416627,3800,0,2021-07-21,"2021-07-21 02:01:27"
"0xf9c45b6e9a9c2d58dedc192f3eee627dde5d9a3f",817.046116319914,685,0,2021-07-21,"2021-07-21 02:01:27"
"0x695cabcf448ab75176a8c78bcad9fb815ee86b6c",806.717366644466,12500,13306.7173666445,2021-07-21,"2021-07-21 02:01:27"
"0xa1d3f6bf7de7f968789e2c9f3cfddd49cb01a30c",772.888325148762,685,0,2021-07-21,"2021-07-21 02:01:27"
"0x15ec25036ad7ff4243c6d90b027f7425d26cc5a1",772.275658691779,8333.33,0,2021-07-21,"2021-07-21 02:01:27"
"0xd1feef91e79d3dbdf75c47caaaf04f8f22cb840f",771.848428897319,20252.0381808477,11098.1813756583,2021-07-21,"2021-07-21 02:01:27"
"0xd4e0180b9a0b0c8c963472f0c9ff02a6fbffa398",680.225347162682,2000,0,2021-07-21,"2021-07-21 02:01:27"
"0x296897c5b419c2217719dc699d244e595d675d07",657.573262969311,3685,4342.57326296931,2021-07-21,"2021-07-21 02:01:27"
"0x038db6c62d0f072616e2b8db7d3d7cfc829f7f65",628.556353500073,6419.36642258506,0,2021-07-21,"2021-07-21 02:01:27"
