"active","firstLevel","lastLevel","updates","address","hdao_value","percent_of_supply","date","timestamp"
TRUE,1507017,1649589,2126,"KT1Ga15wxGR5oWK1vBG2GXbjYM6WqPgpfRSP",209932.80246,32.2428326804913,2021-08-30,"2021-08-30 00:00:09"
TRUE,1505650,1548517,22,"tz1c9EbVJP8Z7jW7XZTpn8jeu2sswKnGJT33",18366.152189,2.82079201094454,2021-08-30,"2021-08-30 00:00:09"
TRUE,1365710,1429396,55808,"tz1UBZUkXpKGhYsP5KtzDNqLLchwF4uHrGjw",16248.886267,2.49560866625899,2021-08-30,"2021-08-30 00:00:09"
TRUE,1443017,1649718,36929,"KT1QxLqukyfohPV5kPkw97Rs6cw1DDDvYgbB",14044.817764,2.15709362179799,2021-08-30,"2021-08-30 00:00:09"
TRUE,1494061,1616546,7,"tz1ftfeSSSPHBFt4QMU3j9eAV5HPFtZua4fh",11400.182256,1.75091345754483,2021-08-30,"2021-08-30 00:00:09"
TRUE,1446020,1484635,7,"tz1YSLwrKZ35uUfXNEnmWxNgF19dN4KUbCqZ",10011.401478,1.5376155558819,2021-08-30,"2021-08-30 00:00:09"
TRUE,1494037,1580238,15,"tz1e9Eca8QDPReWWXRfP1qqoCo7Gd9xh3Q2R",9702.14881,1.49011853820063,2021-08-30,"2021-08-30 00:00:09"
TRUE,1633969,1648152,15,"tz1iaVFySeteNqer5NcmNaxUdBW4bbrtNakb",9183.015162,1.41038664706625,2021-08-30,"2021-08-30 00:00:09"
TRUE,1446949,1446958,4,"tz1WXC1Q3td2oCBctVGqrj3YdQRqcJMQ5L3F",7002.993639,1.0755648927606,2021-08-30,"2021-08-30 00:00:09"
TRUE,1444559,1444630,9,"tz1LMQS9MnFU52HYfKt6NNYubjcSFmkHDutc",6990.422968,1.07363420809872,2021-08-30,"2021-08-30 00:00:09"
TRUE,1370301,1530873,27,"tz2VCuFqeecy9nhbwvQjQWHzFRocRNXxV99F",6754,1.03732284508292,2021-08-30,"2021-08-30 00:00:09"
TRUE,1643504,1643597,4,"tz1bdu3GqUaQAcyFzMBzaiejPDCWUzVPJ8MN",6001.076881,0.921684060373151,2021-08-30,"2021-08-30 00:00:09"
TRUE,1448196,1643737,16,"tz1ScdMAzqgjYZzuzwGLJ63n6bkSbBhsRnvN",6000,0.921518666049382,2021-08-30,"2021-08-30 00:00:09"
TRUE,1407831,1644844,9,"tz1NM2GD7d8L9oYurYSy3R1Cy7ZAU1ExDyC6",5900,0.906160021615226,2021-08-30,"2021-08-30 00:00:09"
TRUE,1365752,1643569,999,"tz1hb9PiWxQEf6J9xevPsUM6dkuCLnhDMvsp",5285.349818,0.811758085647951,2021-08-30,"2021-08-30 00:00:09"
TRUE,1368929,1544011,191,"tz1P5Za1TUMsDejgzMM5iMNfHAxDUpPCHiwZ",5000,0.767932221707818,2021-08-30,"2021-08-30 00:00:09"
TRUE,1407364,1537665,96,"tz1gnciVtYw9PqXEyZpYMABHoDsxkcqLJFDK",4908.835159,0.753930537929664,2021-08-30,"2021-08-30 00:00:09"
TRUE,1390437,1635205,869,"tz1L7oVDv58oKd6dDrRAgXMhgZbJREvmrMg9",4792.244775,0.736023835406687,2021-08-30,"2021-08-30 00:00:09"
TRUE,1642964,1644048,6,"tz1Yzb6QcBdMvABs2cUe8ynHJkaVVFsUpyko",4754.251851,0.730188637299388,2021-08-30,"2021-08-30 00:00:09"
TRUE,1392280,1642446,462,"tz1Y1j7FK1X9Rrv2VdPz5bXoU7SszF8W1RnK",4047.592783,0.621655383683544,2021-08-30,"2021-08-30 00:00:09"
TRUE,1437068,1464421,13,"tz1S8GvdiWQghwPMMzbNvRh66rcfmhEA6vj2",4001.664848,0.614601475450944,2021-08-30,"2021-08-30 00:00:09"
TRUE,1529472,1538061,9,"tz1cXrYi3wgCVj4qfeXcbRyzxnX23kka1Te6",3947.556247,0.606291127815058,2021-08-30,"2021-08-30 00:00:09"
TRUE,1485259,1640631,11,"tz1czgvqmECmPbvLPA5jJi93Jwg8tma8Zhvv",3700,0.568269844063786,2021-08-30,"2021-08-30 00:00:09"
TRUE,1427256,1643572,99,"tz1PoXtd7RGVBwWmmZvxX18NQXYpbNdiwwtE",3685.62239,0.566061638065756,2021-08-30,"2021-08-30 00:00:09"
TRUE,1376517,1627333,1818,"tz1gqaKjfQBhUMCE6LhbkpuittRiWv5Z6w38",3494.007302,0.53663215801764,2021-08-30,"2021-08-30 00:00:09"
TRUE,1412755,1429076,320,"tz1Up2nmJXyjKV7HFk2hrHzGcRRe5y5SphiQ",3081.067933,0.473210268604281,2021-08-30,"2021-08-30 00:00:09"
TRUE,1378743,1477037,217,"tz1TeLXGCQYuJyeSJcbdynDP2nh8t1A7AocZ",3023.653988,0.464392264936109,2021-08-30,"2021-08-30 00:00:09"
TRUE,1436292,1439106,26,"tz1ix4QkVD9SGun3TZUHp77qgNmuQScHWhQu",3000.822155,0.460885604887839,2021-08-30,"2021-08-30 00:00:09"
TRUE,1440532,1643521,11,"tz1TW2Bt2fNyceXUD4KKUnyyoWXJojxfbibM",3000.816808,0.460884783661121,2021-08-30,"2021-08-30 00:00:09"
TRUE,1638077,1638077,1,"tz1fVmebHu52gtQYMXB7SvNVmkNKKUkELkxP",2928.257777,0.449740700084961,2021-08-30,"2021-08-30 00:00:09"
TRUE,1406049,1635130,17,"tz1W19DveaP3mW4WvFtdVdqGsWwBL5q1QDSK",2776.000621,0.426356064869363,2021-08-30,"2021-08-30 00:00:09"
TRUE,1370297,1557629,607,"tz2R1iMz3wHEx6Z8dpdPVgb9eTDVh5NdeqNz",2714.985769,0.416985010698656,2021-08-30,"2021-08-30 00:00:09"
TRUE,1412977,1648169,411,"tz1WW1xr4mdTif7jorgVr7aqY3YnnJPSDXj7",2704.326935,0.415347958283769,2021-08-30,"2021-08-30 00:00:09"
TRUE,1420137,1647787,118,"tz1gDzp5mM7G7CW5CBeyG4pxHcv4jN8MM5Df",2601.70976,0.399587351247143,2021-08-30,"2021-08-30 00:00:09"
TRUE,1498453,1633536,34,"tz1gJpwrJy66fWH2niNwLzWv2YhbggKq8crT",2502.26619,0.384314166918212,2021-08-30,"2021-08-30 00:00:09"
TRUE,1491993,1501593,12,"tz1ReqArXNDBEfHakof5fje5aTrSuE3bXW1M",2257.633299,0.346741871020524,2021-08-30,"2021-08-30 00:00:09"
TRUE,1586838,1641797,14,"tz1TsXDszgoTJAgXynemmJG7bLGucU9XDDd3",2201,0.338043763995782,2021-08-30,"2021-08-30 00:00:09"
