"activeStakesCount","createdAt","defaultDisplayName","id","stakesCount","totalRealizedRewards","totalStakedTokens","totalUnstakedTokens","date_utc","date_time_utc"
0,1613279874,NA,"0xe2d1f13732b29371abae558e63616195814b2a61",1,"18551916185372501205.5751863052191","844566712836650000000","863118629022022500035",2021-08-23,"2021-08-23 20:40:26"
2,1608426789,NA,"0xe2d128323cf7560a6e7a82726d7b425aedc7a556",2,"0","10945000000000000000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1611788073,NA,"0xe2cba0c016061c7c878f2a73ca06e920cf151f0f",1,"42601166141870527078.35545502747","10895250000000000000000","10937851166141870008045",2021-08-23,"2021-08-23 20:40:26"
1,1627573889,NA,"0xe2c9d84629cc5a6047e6718b0055be1da9407ee9",1,"0","354118618872900000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1611559400,NA,"0xe2b59f6abdc750a3795f510a81d3d078fd19a5ce",1,"372256283035098881907.655558079145","61876065000000000000000","8070000000000000001984",2021-08-23,"2021-08-23 20:40:26"
1,1621593187,NA,"0xe2acb7e136f8152cacefc7047261f6cf1a17e24c",1,"0","1335866144800000000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1611601708,NA,"0xe2ac67cb3a114a8464aca1a48a07bc66ca09e5d1",2,"2870887299429103206811.7933989176","240457660050000000000000","135577892299429103231638",2021-08-23,"2021-08-23 20:40:26"
1,1621256355,NA,"0xe2a977bdc8125ebd5d79abd441948e19dab2b9a5",1,"0","796000000000000000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1612033203,NA,"0xe2a02e1a05ebe7a515ede0b293b5af5be8fc0c55",1,"34400501805735460451.91160361886","10366563814500000000000","10400964316305735001404",2021-08-23,"2021-08-23 20:40:26"
1,1608390542,NA,"0xe29d1689dce347a5122e304c1f9fa09f1efe4f2f",1,"0","19900000000000000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1621799105,NA,"0xe29b6ad7ecb8bbc798c7144dd0e4fdee11917ca8",2,"295063704284724541143.26955589404","55560471650000000000000","25156143654284724542062",2021-08-23,"2021-08-23 20:40:26"
1,1613544539,NA,"0xe28f763f90df421b95900a6ef3c56cb6c350ffe3",1,"0","669316600000000000000","0",2021-08-23,"2021-08-23 20:40:26"
1,1608491169,NA,"0xe2877c81bbee3b9d492200f0bce5f2a2247f231b",2,"47831009558370850176697.067295968","2686593530000000000000000","1391127774558370849525322",2021-08-23,"2021-08-23 20:40:26"
1,1613638282,NA,"0xe285504a782317dba715f739cff058e5362257e4",1,"0","58041335000000000000000","0",2021-08-23,"2021-08-23 20:40:26"
