"averageCostBasis","id","signal","signalledTokens","unsignalledTokens","pricePerShare","subgraphID","shareValue","TotalProfitLoss","address","date_utc","date_time_utc"
3600,"0x534a9ac3d3401f80800375680bded6a84137d296-0x97230febf3e6595462d93600404a77223d5dc723-0",51.5195861995398,3600,0,119.649015391876,1.12501741077966e+77,6164.26776217181,2564.26776217181,"0x534a9ac3d3401f80800375680bded6a84137d296",2021-07-21,"2021-07-21 02:00:08"
0,"0x534a9ac3d3401f80800375680bded6a84137d296-0xa2e0225b258fd766a976b9c7abcac07e847932a7-0",0,3700,3607.5,0,2.52793055103256e+75,0,-92.5,"0x534a9ac3d3401f80800375680bded6a84137d296",2021-07-21,"2021-07-21 02:00:08"
685,"0x01ab07010c2f4bf5971537669cc19d5d8cf320a0-0x2382ab6c2099474cf424560a370ed1b1fdb65253-0",0.902216981540736,685,0,886.568411997632,6.13377796246573e+76,799.877076601867,114.877076601867,"0x01ab07010c2f4bf5971537669cc19d5d8cf320a0",2021-07-21,"2021-07-21 02:00:08"
100,"0xba74a8f28d08d9a1e92c0eb4424e3c7ed3f17e78-0xf50b705e4eaba269dfe954f10c65bd34e6351e0c-0",0.211552703092271,100,0,610.01174468971,3.63483103230927e+76,129.04963350714,29.0496335071401,"0xba74a8f28d08d9a1e92c0eb4424e3c7ed3f17e78",2021-07-21,"2021-07-21 02:00:08"
228.54,"0x57ef6458d77b5813ef722c050de66fe12439783c-0xf50b705e4eaba269dfe954f10c65bd34e6351e0c-0",0.484213542384126,228.54,0,610.01174468971,3.63483103230927e+76,295.375947792125,66.8359477921251,"0x57ef6458d77b5813ef722c050de66fe12439783c",2021-07-21,"2021-07-21 02:00:08"
0,"0x5991a31ab4095cb5470a5bd532e02568393b06d5-0x5991a31ab4095cb5470a5bd532e02568393b06d5-0",0,400,390,116.833214455479,7.56410585927113e+75,0,-10,"0x5991a31ab4095cb5470a5bd532e02568393b06d5",2021-07-21,"2021-07-21 02:00:08"
0,"0x5991a31ab4095cb5470a5bd532e02568393b06d5-0x5991a31ab4095cb5470a5bd532e02568393b06d5-1",0,390,380.25,0,4.81379356060903e+76,0,-9.75,"0x5991a31ab4095cb5470a5bd532e02568393b06d5",2021-07-21,"2021-07-21 02:00:08"
0,"0x5991a31ab4095cb5470a5bd532e02568393b06d5-0x5991a31ab4095cb5470a5bd532e02568393b06d5-3",0,380.25,370.74375,0,4.01254362885239e+76,0,-9.50625000000002,"0x5991a31ab4095cb5470a5bd532e02568393b06d5",2021-07-21,"2021-07-21 02:00:08"
500,"0xd4e0180b9a0b0c8c963472f0c9ff02a6fbffa398-0x0d69090672c1e5a94e9aedfbc59558d18a78e1d3-0",8.59217567517571,500,0,65.3298482914264,3.84518243137676e+76,561.325533352513,61.3255333525128,"0xd4e0180b9a0b0c8c963472f0c9ff02a6fbffa398",2021-07-21,"2021-07-21 02:00:09"
500,"0xd4e0180b9a0b0c8c963472f0c9ff02a6fbffa398-0x369e32aed1dc5c33c85ab20977fb645a803e4a70-1",12.324702313031,500,0,51.8794102173803,5.5716251991061e+76,639.398287104832,139.398287104832,"0xd4e0180b9a0b0c8c963472f0c9ff02a6fbffa398",2021-07-21,"2021-07-21 02:00:09"
500,"0xd4e0180b9a0b0c8c963472f0c9ff02a6fbffa398-0x9e74320049a33627f16ff66082bf93e6831a21cb-0",22.0794021658196,500,0,44.1588043316392,7.16188084280276e+76,975,475,"0xd4e0180b9a0b0c8c963472f0c9ff02a6fbffa398",2021-07-21,"2021-07-21 02:00:09"
500,"0xd4e0180b9a0b0c8c963472f0c9ff02a6fbffa398-0xde9ca5aff3b7b7f3a29728451c446bda154c0ece-0",4.12329076167777,500,0,122.354099156484,3.45079908948978e+75,504.501526705337,4.50152670533726,"0xd4e0180b9a0b0c8c963472f0c9ff02a6fbffa398",2021-07-21,"2021-07-21 02:00:09"
50,"0x27dfa6ba1dd770a675791c528d0346885cee982f-0xacfe4511ce883c14c4ea40563f176c3c09b4c47c-0",0.212603741797081,50,0,229.512425033416,1.02078525278409e+77,48.7952003510261,-1.20479964897388,"0x27dfa6ba1dd770a675791c528d0346885cee982f",2021-07-21,"2021-07-21 02:00:09"
150,"0xecb363c3a4902fe7f43861300feb67404fa94be8-0xb31aa1f312595af94f184c5791dc03d6af12fbff-0",0.136223427704153,150,0,1068.29709464293,8.49750024866795e+76,145.527092038648,-4.47290796135192,"0xecb363c3a4902fe7f43861300feb67404fa94be8",2021-07-21,"2021-07-21 02:00:09"
10500,"0x26728c8a86f9e2b440fef8339ab12c70eafa4456-0x24d123ddacfed44e253559446879da7cbdfe6d92-0",76.0343387616606,10500,0,155.501766580497,5.93336410889193e+76,11823.4739982182,1323.47399821817,"0x26728c8a86f9e2b440fef8339ab12c70eafa4456",2021-07-21,"2021-07-21 02:00:09"
